name,valid_weighted_r2,best_iteration,best_score_rmse,elapsed_seconds,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_lambda
shallower,0.005567144781773781,138,0.5995355748412899,1.6835477352142334,4,0.03,100,0.9,0.9,1.0
more_regularized,0.005553102212093042,126,0.59953980791371,1.8013451099395752,5,0.03,200,0.8,0.8,5.0
baseline,0.005519385812901012,96,0.5995499713607302,2.359935760498047,5,0.03,100,0.9,0.9,1.0
